Year,Average_Deaths
2010.0,250966.0
2011.0,250968.0
2012.0,252978.0
2013.0,241317.0
2014.0,250596.0
2015.0,254854.0
2016.0,255567.0
2017.0,259119.0
2018.0,261341.0
2019.0,268528.0
