,index,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Cardiovascular Diseases,15597099,15821594,16076600,14210519,16534262,17088895,16792338,17231608,17347475,17793218
1,Neoplasms,8225312,8387556,8550922,8685345,8790219,9050964,9034802,9015240,9434173,9660256
2,Chronic Respiratory Diseases,3449662,3517054,3539406,3595582,3420066,3690767,3624632,3724660,3793474,3846512
3,Lower Respiratory Infections,2441518,2452863,2436061,2510062,2468858,2532705,2342402,2286627,2374697,2349738
